City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
253,Mizdah,LY,31.4451,12.9801,74.86,51,0,16.82,clear sky
254,Saint-Leu,RE,-21.15,55.2833,67.32,76,55,3.13,light rain
255,Sakakah,SA,29.9697,40.2064,90.97,15,0,13.35,clear sky
256,Udalguri,IN,26.7667,92.1333,82.72,70,1,1.79,clear sky
257,Chokurdakh,RU,70.6333,147.9167,54.72,58,88,7.14,overcast clouds
258,El Playon,CO,7.4713,-73.2031,88.07,81,34,1.79,scattered clouds
259,Flinders,AU,-34.5833,150.8552,47.17,77,0,7.0,clear sky
260,Provideniya,RU,64.3833,-173.3,55.51,62,0,13.42,clear sky
261,Ust-Nera,RU,64.5667,143.2,68.27,70,100,3.58,overcast clouds
262,Nanortalik,GL,60.1432,-45.2371,46.94,77,100,3.02,overcast clouds
263,Marugame,JP,34.2833,133.7833,77.54,95,100,1.41,light rain
264,Vanavara,RU,60.34,102.2797,48.25,94,40,1.19,scattered clouds
265,Karratha,AU,-20.7377,116.8463,61.88,54,39,9.51,light rain
266,Saint-Joseph,RE,-21.3667,55.6167,65.21,80,87,8.55,light rain
267,Nipawin,CA,53.3668,-104.0009,78.84,34,0,10.36,clear sky
268,Jiangyou,CN,31.7667,104.7167,76.96,90,96,4.07,overcast clouds
269,Meulaboh,ID,4.1363,96.1285,75.52,90,76,5.64,broken clouds
270,Chernyshevskiy,RU,63.0128,112.4714,56.59,88,100,2.93,light rain
271,Saint-Louis,SN,16.3333,-15.0,88.93,47,39,18.45,scattered clouds
272,Carutapera,BR,-1.195,-46.02,78.3,86,33,8.5,scattered clouds
273,Halifax,CA,44.6453,-63.5724,72.52,88,100,5.99,mist
274,Karachi,PK,24.9056,67.0822,85.82,74,100,5.75,overcast clouds
275,Batagay-Alyta,RU,67.8006,130.4114,65.95,60,77,1.1,broken clouds
276,Kangaatsiaq,GL,68.3065,-53.4641,39.69,94,14,16.11,few clouds
277,Kuybyshevo,RU,47.8123,38.9073,61.5,73,0,5.37,clear sky
278,Boguchany,RU,58.3814,97.4531,52.7,70,89,1.97,overcast clouds
279,Broken Hill,AU,-31.95,141.4333,40.06,79,0,5.79,clear sky
280,Kashi,CN,39.4547,75.9797,70.81,43,75,6.71,broken clouds
281,Kununurra,AU,-15.7667,128.7333,58.98,33,58,8.05,broken clouds
282,Port-Gentil,GA,-0.7193,8.7815,75.16,83,40,8.05,scattered clouds
283,College,US,64.8569,-147.8028,66.58,38,75,9.22,smoke
284,Colares,PT,38.7992,-9.4469,79.79,55,0,8.05,clear sky
285,Pak Phanang,TH,8.3511,100.202,77.85,83,92,9.08,overcast clouds
286,Berlevag,NO,70.8578,29.0864,60.6,100,75,12.66,light rain
287,Hellvik,NO,59.9156,5.781,53.01,80,60,8.21,broken clouds
